state_code,park_code,park_name
DC,afam,African American Civil War Memorial
GA,auca,Augusta Canal National Heritage Area
DC,bepa,Belmont-Paul Women's Equality National Monument
FL,bicy,Big Cypress National Preserve
UT,brca,Bryce Canyon National Park
KY,cane,Camp Nelson National Monument
MA,caco,Cape Cod National Seashore
SC,chpi,Charles Pinckney National Historic Site
OH,cuva,Cuyahoga Valley National Park
FL,drto,Dry Tortugas National Park
IA,efmo,Effigy Mounds National Monument
NM,elma,El Malpais National Monument
OH,fila,First Ladies National Historic Site
AZ,fobo,Fort Bowie National Historic Site
TX,foda,Fort Davis National Historic Site
NY,fost,Fort Stanwix National Monument
DC,frdo,Frederick Douglass National Historic Site
VA,frsp,Fredericksburg & Spotsylvania National Military Park
PA,frhi,Friendship Hill National Historic Site
AK,gaar,Gates Of The Arctic National Park & Preserve
WV,gari,Gauley River National Recreation Area
MD,glec,Glen Echo Park
CA,goga,Golden Gate National Recreation Area
NY,gois,Governors Island National Monument
NY,hart,Harriet Tubman National Historical Park
VA,jame,Historic Jamestowne Part of Colonial National Historical Park
AZ,pima,Hohokam Pima National Monument
AK,kefj,Kenai Fjords National Park
ND,knri,Knife River Indian Villages National Historic Site
DC,kowa,Korean War Veterans Memorial
DC,linc,Lincoln Memorial
MA,long,Longfellow House Washington's Headquarters National Historic Site
CA,manz,Manzanar National Historic Site
NY,mava,Martin Van Buren National Historic Site
MI,auto,Motor Cities National Heritage Area
OH,avia,National Aviation Heritage Area
DC,nace,National Capital Parks-East
NE,niob,Niobrara National Scenic River
AZ,orpi,Organ Pipe Cactus National Monument
MO,ozar,Ozark National Scenic Riverways
UT,para,Parashant National Monument
VA,pete,Petersburg National Battlefield
NY,sahi,Sagamore Hill National Historic Site
WI,sacn,Saint Croix National Scenic Riverway
NM,sapu,Salinas Pueblo Missions National Monument
VI,sari,Salt River Bay National Historical Park and Ecological Preserve
TX,saan,San Antonio Missions National Historical Park
ND,thro,Theodore Roosevelt National Park
DC,thje,Thomas Jefferson Memorial
VA,york,Yorktown Battlefield Part of Colonial National Historical Park
MD,anti,Antietam National Battlefield
MD,asis,Assateague Island National Seashore
SD,badl,Badlands National Park
MD,balt,Baltimore National Heritage Area
TX,bibe,Big Bend National Park
NC,blri,Blue Ridge Parkway
MA,boaf,Boston African American National Historic Site
LA,cari,Cane River Creole National Historical Park
UT,cany,Canyonlands National Park
DC,cahi,Capitol Hill Parks
NY,cacl,Castle Clinton National Monument
NM,chcu,Chaco Culture National Historical Park
GA,chch,Chickamauga & Chattanooga National Military Park
CO,colm,Colorado National Monument
KY,cuga,Cumberland Gap National Historical Park
CO,dino,Dinosaur National Monument
NY,erie,Erie Canalway National Heritage Corridor
CO,flfo,Florissant Fossil Beds National Monument
AK,glba,Glacier Bay National Park & Preserve
MT,grko,Grant-Kohrs Ranch National Historic Site
WV,hafe,Harpers Ferry National Historical Park
PA,hofu,Hopewell Furnace National Historic Site
WA,iafl,Ice Age Floods National Geologic Trail
SD,jeca,Jewel Cave National Monument
CA,jomu,John Muir National Historic Site
DC,keaq,Kenilworth Park & Aquatic Gardens
NE,lecl,Lewis & Clark National Historic Trail
AR,chsc,Little Rock Central High School National Historic Site
DC,mamc,Mary McLeod Bethune Council House National Historic Site
MS,mide,Mississippi Delta National Heritage Area
NJ,morr,Morristown National Historical Park
WA,mora,Mount Rainier National Park
MS,natc,Natchez National Historical Park
NY,npnh,National Parks of New York Harbor
TN,obed,Obed Wild & Scenic River
NM,peco,Pecos National Historical Park
AZ,pefo,Petrified Forest National Park
CA,redw,Redwood National and State Parks
CO,romo,Rocky Mountain National Park
CA,safr,San Francisco Maritime National Historical Park
CA,seki,Sequoia & Kings Canyon National Parks
KS,tapr,Tallgrass Prairie National Preserve
CT,qush,The Last Green Valley National Heritage Corridor
NM,trte,Trail Of Tears National Historic Trail
AZ,tuma,Tumacácori National Historical Park
PA,upde,Upper Delaware Scenic & Recreational River
NM,whsa,White Sands National Park
VA,wotr,Wolf Trap National Park for the Performing Arts
AK,wrst,Wrangell - St Elias National Park & Preserve
CA,yose,Yosemite National Park
MA,adam,Adams National Historical Park
PA,alpo,Allegheny Portage Railroad National Historic Site
DC,anac,Anacostia Park
UT,arch,Arches National Park
CO,blca,Black Canyon Of The Gunnison National Park
NM,cave,Carlsbad Caverns National Park
OH,chyo,Charles Young Buffalo Soldiers National Monument
MD,cbpo,Chesapeake Bay
AZ,chir,Chiricahua National Monument
OR,crla,Crater Lake National Park
WY,deto,Devils Tower National Monument
NM,elte,El Camino Real de los Tejas National Historic Trail
OH,fati,Fallen Timbers Battlefield and Fort Miamis National Historic Site
GA,fofr,Fort Frederica National Monument
FL,foma,Fort Matanzas National Monument
VA,fomr,Fort Monroe National Monument
NM,foun,Fort Union National Monument
WA,fova,Fort Vancouver National Historic Site
MO,jeff,Gateway Arch National Park
MT,glac,Glacier National Park
CO,grsa,Great Sand Dunes National Park & Preserve
SC,guge,Gullah/Geechee Cultural Heritage Corridor
MD,hatu,Harriet Tubman Underground Railroad National Historical Park
OH,hocu,Hopewell Culture National Historical Park
AZ,hutr,Hubbell Trading Post National Historic Site
HI,kala,Kalaupapa National Historical Park
CA,lavo,Lassen Volcanic National Park
CA,labe,Lava Beds National Monument
IL,liho,Lincoln Home National Historic Site
MT,libi,Little Bighorn Battlefield National Monument
ME,maac,Maine Acadian Culture
VT,mabi,Marsh - Billings - Rockefeller National Historical Park
MA,mima,Minute Man National Historical Park
NC,mocr,Moores Creek National Battlefield
SD,moru,Mount Rushmore National Memorial
